"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5%File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Occupied Housing Units","Occupied Housing Units: No Vehicle Available","Occupied Housing Units: 1 Vehicle Available","Occupied Housing Units: 2 Vehicles Available","Occupied Housing Units: 3 Vehicles Available","Occupied Housing Units: 4 Vehicles Available","Occupied Housing Units: 5 or More Vehicles Available","Total","Total: Owner Occupied","Total: Owner Occupied: No Vehicle Available","Total: Owner Occupied: No Vehicle Available: Householder 15 To 34 Years","Total: Owner Occupied: No Vehicle Available: Householder 35 To 64 Years","Total: Owner Occupied: No Vehicle Available: Householder 65 Years And Over","Total:  1 Or More Vehicles Available","Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Total:  1 Or More Vehicles Available: Householder 65 Years And Over","Total: Renter Occupied","Total: Renter Occupied: No Vehicle Available","Total: Renter Occupied: No Vehicle Available: Householder 15 To 34 Years","Total: Renter Occupied: No Vehicle Available: Householder 35 To 64 Years","Total: Renter Occupied: No Vehicle Available: Householder 65 Years And Over","Total:  1 Or More Vehicles Available","Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Total:  1 Or More Vehicles Available: Householder 65 Years And Over","Std. Error: Total","Std. Error: Total: Owner Occupied","Std. Error: Total: Owner Occupied: No Vehicle Available","Std. Error: Total: Owner Occupied: No Vehicle Available: Householder 15 To 34 Years","Std. Error: Total: Owner Occupied: No Vehicle Available: Householder 35 To 64 Years","Std. Error: Total: Owner Occupied: No Vehicle Available: Householder 65 Years And Over","Std. Error: Total:  1 Or More Vehicles Available","Std. Error: Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 65 Years And Over","Std. Error: Total: Renter Occupied","Std. Error: Total: Renter Occupied: No Vehicle Available","Std. Error: Total: Renter Occupied: No Vehicle Available: Householder 15 To 34 Years","Std. Error: Total: Renter Occupied: No Vehicle Available: Householder 35 To 64 Years","Std. Error: Total: Renter Occupied: No Vehicle Available: Householder 65 Years And Over","Std. Error: Total:  1 Or More Vehicles Available","Std. Error: Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 65 Years And Over"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007,ACS21_5yr_B25045001,ACS21_5yr_B25045002,ACS21_5yr_B25045003,ACS21_5yr_B25045004,ACS21_5yr_B25045005,ACS21_5yr_B25045006,ACS21_5yr_B25045007,ACS21_5yr_B25045008,ACS21_5yr_B25045009,ACS21_5yr_B25045010,ACS21_5yr_B25045011,ACS21_5yr_B25045012,ACS21_5yr_B25045013,ACS21_5yr_B25045014,ACS21_5yr_B25045015,ACS21_5yr_B25045016,ACS21_5yr_B25045017,ACS21_5yr_B25045018,ACS21_5yr_B25045019,ACS21_5yr_B25045001s,ACS21_5yr_B25045002s,ACS21_5yr_B25045003s,ACS21_5yr_B25045004s,ACS21_5yr_B25045005s,ACS21_5yr_B25045006s,ACS21_5yr_B25045007s,ACS21_5yr_B25045008s,ACS21_5yr_B25045009s,ACS21_5yr_B25045010s,ACS21_5yr_B25045011s,ACS21_5yr_B25045012s,ACS21_5yr_B25045013s,ACS21_5yr_B25045014s,ACS21_5yr_B25045015s,ACS21_5yr_B25045016s,ACS21_5yr_B25045017s,ACS21_5yr_B25045018s,ACS21_5yr_B25045019s
"ACSSF","ca","150","00","0015925",,,,,"06","037",,,"101110","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011101","Block Group 1",,,"Block Group 1, Census Tract 1011.10, Los Angeles County, California","060371011101","447305","0",,,,,,,,595,84,188,246,63,4,10,595,339,40,0,40,0,299,18,228,53,256,44,24,20,0,212,67,85,60,78.18182,63.63636,29.09091,7.878788,29.09091,7.878788,60,18.18182,56.9697,21.81818,49.69697,24.84848,17.57576,19.39394,7.878788,47.27273,29.69697,31.51515,26.66667
"ACSSF","ca","150","00","0015926",,,,,"06","037",,,"101110","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011102","Block Group 2",,,"Block Group 2, Census Tract 1011.10, Los Angeles County, California","060371011102","354405","0",,,,,,,,560,90,116,224,121,9,0,560,264,28,0,0,28,236,17,129,90,296,62,0,20,42,234,9,172,53,68.48485,53.93939,25.45455,7.878788,7.878788,25.45455,47.27273,15.15152,39.39394,26.06061,55.75758,27.87879,7.878788,20,18.78788,49.09091,8.484848,44.84848,29.09091
"ACSSF","ca","150","00","0015927",,,,,"06","037",,,"101110","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011103","Block Group 3",,,"Block Group 3, Census Tract 1011.10, Los Angeles County, California","060371011103","340691","0",,,,,,,,339,18,94,181,20,26,0,339,247,0,0,0,0,247,0,173,74,92,18,0,0,18,74,11,63,0,59.39394,56.9697,7.878788,7.878788,7.878788,7.878788,56.9697,7.878788,52.12121,24.84848,33.93939,16.9697,7.878788,7.878788,16.9697,30.30303,10.30303,29.69697,7.878788
"ACSSF","ca","150","00","0015928",,,,,"06","037",,,"101122","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011221","Block Group 1",,,"Block Group 1, Census Tract 1011.22, Los Angeles County, California","060371011221","1590035","0",,,,,,,,786,9,190,255,233,72,27,786,602,9,0,9,0,593,0,370,223,184,0,0,0,0,184,84,100,0,81.81818,56.36364,9.090909,7.878788,9.090909,7.878788,55.75758,7.878788,51.51515,46.06061,84.84849,7.878788,7.878788,7.878788,7.878788,84.84849,69.09091,43.63636,7.878788
"ACSSF","ca","150","00","0015929",,,,,"06","037",,,"101122","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371011222","Block Group 2",,,"Block Group 2, Census Tract 1011.22, Los Angeles County, California","060371011222","1054010","0",,,,,,,,586,0,88,338,80,49,31,586,426,0,0,0,0,426,44,246,136,160,0,0,0,0,160,62,98,0,84.84849,58.18182,7.878788,7.878788,7.878788,7.878788,58.18182,30.90909,44.84848,32.12121,69.09091,7.878788,7.878788,7.878788,7.878788,69.09091,36.9697,57.57576,7.878788
"ACSSF","ca","150","00","0015930",,,,,"06","037",,,"101220","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012201","Block Group 1",,,"Block Group 1, Census Tract 1012.20, Los Angeles County, California","060371012201","332117","0",,,,,,,,443,0,102,173,99,69,0,443,216,0,0,0,0,216,17,118,81,227,0,0,0,0,227,38,142,47,40.60606,41.21212,7.878788,7.878788,7.878788,7.878788,41.21212,10.90909,29.69697,29.09091,35.15152,7.878788,7.878788,7.878788,7.878788,35.15152,19.39394,30.30303,18.18182
"ACSSF","ca","150","00","0015931",,,,,"06","037",,,"101220","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012202","Block Group 2",,,"Block Group 2, Census Tract 1012.20, Los Angeles County, California","060371012202","366769","0",,,,,,,,914,73,276,435,74,27,29,914,379,6,0,0,6,373,26,273,74,535,67,0,35,32,468,48,339,81,122.4242,92.12122,6.666667,7.878788,7.878788,6.666667,92.72727,20,93.93939,30.90909,92.12122,25.45455,7.878788,20,15.75758,90.90909,21.81818,87.27273,27.87879
"ACSSF","ca","150","00","0015932",,,,,"06","037",,,"101221","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012211","Block Group 1",,,"Block Group 1, Census Tract 1012.21, Los Angeles County, California","060371012211","151836","0",,,,,,,,431,30,175,129,63,34,0,431,161,12,0,0,12,149,68,49,32,270,18,0,18,0,252,0,171,81,72.12122,61.21212,12.12121,7.878788,7.878788,12.12121,60,37.57576,39.39394,20.60606,67.27273,18.18182,7.878788,18.18182,7.878788,67.87878,7.878788,57.57576,52.12121
"ACSSF","ca","150","00","0015933",,,,,"06","037",,,"101221","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012212","Block Group 2",,,"Block Group 2, Census Tract 1012.21, Los Angeles County, California","060371012212","202342","0",,,,,,,,1019,185,336,397,27,51,23,1019,149,0,0,0,0,149,11,65,73,870,185,0,62,123,685,125,521,39,165.4545,63.0303,7.878788,7.878788,7.878788,7.878788,63.0303,11.51515,30.90909,55.15152,160.6061,125.4545,7.878788,34.54546,122.4242,106.6667,61.21212,110.9091,29.69697
