X,Y,LINE,LINENUM,LINENUM2,STNSEQ,STNSEQ2,DIR,STOPNUM,STATION,LAT,LONG,TPIS_NAME,POINT_X,POINT_Y
-118.192921,33.768071,Blue,801,0,21,0,,80101,Downtown Long Beach Station,33.768071,-118.192921,Long Bch,6503030.09485999960,1738033.82756999996
-118.1937,33.772258,Blue,801,0,22,0,North,80102,Pacific Ave Station,33.772258,-118.193700,Pacific,6502796.26159999985,1739558.04997999989
-118.189384,33.78183,Blue,801,0,18,0,,80105,Anaheim Street Station,33.781830,-118.189384,Anaheim,6504114.56659999955,1743039.06750999996
-118.189382,33.78909,Blue,801,0,17,0,,80106,Pacific Coast Hwy Station,33.789090,-118.189382,PCH,6504120.15233999956,1745681.17947999993
-118.189834,33.807079,Blue,801,0,16,0,,80107,Willow Street Station,33.807079,-118.189834,Willow,6503995.16958000045,1752228.11853000009
-118.19609,33.819865,Blue,801,0,15,0,,80108,Wardlow Station,33.819865,-118.196090,Wardlow,6502103.67901000008,1756884.92631000001
-118.211017,33.848222,Blue,801,0,14,0,,80109,Del Amo Station,33.848222,-118.211017,Del Amo,6497591.22434000019,1767213.93305999995
-118.222503,33.876082,Blue,801,0,13,0,,80110,Artesia Station,33.876082,-118.222503,Artesia,6494125.94235000014,1777360.37443000008
-118.224249,33.89749,Blue,801,0,12,0,,80111,Compton Station,33.897490,-118.224249,Compton,6493613.32653999981,1785152.41549999989
-118.237555,33.928048,Blue,801,0,11,0,,80112,Willowbrook - Rosa Parks Station - Metro Blue Line,33.928048,-118.237555,Willwbrk,6489601.61464999989,1796282.41943000001
-118.243159,33.94222,Blue,801,0,10,0,,80113,103rd Street / Watts Towers  Station,33.942220,-118.243159,103rd,6487914.05628000014,1801443.97619999992
-118.243205,33.959611,Blue,801,0,9,0,,80114,Firestone Station,33.959611,-118.243205,Firestne,6487915.41724000033,1807772.95591000002
-118.243271,33.97374,Blue,801,0,8,0,,80115,Florence Station,33.973740,-118.243271,Florence,6487907.84724999964,1812914.83456999995
-118.243398,33.98876,Blue,801,0,7,0,,80116,Slauson Station,33.988760,-118.243398,Slauson,6487882.57736000046,1818381.00527999992
-118.243303,34.00292,Blue,801,0,6,0,,80117,Vernon Station,34.002920,-118.243303,Vernon,6487923.84898000024,1823534.03686000011
-118.243084,34.01965,Blue,801,0,5,0,,80118,Washington Station,34.019650,-118.243084,Washngtn,6488004.94945000019,1829622.24503000011
-118.255505,34.026807,Blue,801,0,4,0,,80119,San Pedro Street Station,34.026807,-118.255505,S Pedro,6484247.64372000005,1832236.14737999998
-118.269333,34.033155,Blue,801,0,3,0,,80120,Grand / LATTC Station,34.033155,-118.269333,Grand/LATTC,6480063.90496999957,1834557.24130000011
-118.266118,34.040735,Blue/EXPO,801,806,2,11,,80121,Pico Station,34.040735,-118.266118,Pico,6481045.28950999957,1837313.14901000005
-118.258822,34.04861,Blue/EXPO,801,806,1,12,,80122,7th St / Metro Center Station - Metro Blue & Expo Lines,34.048610,-118.258822,7MC,6483263.01257000025,1840173.23485999997
-118.273603,34.029112,EXPO,806,0,3,0,,80123,LATTC / Ortho Institute Station,34.029112,-118.273603,LATTC/Ortho,6478766.17470000032,1833089.41268000007
-118.278118,34.022123,EXPO,806,0,4,0,,80124,Jefferson / USC Station,34.022123,-118.278118,Jeff/USC,6477391.11586999986,1830549.74002999999
-118.285734,34.018227,EXPO,806,0,5,0,,80125,Expo Park / USC Station,34.018227,-118.285734,Expo Pk,6475079.28486000001,1829138.38587999996
-118.29154,34.018245,EXPO,806,0,6,0,,80126,Expo / Vermont Station,34.018245,-118.291540,Ex/Vrmnt,6473319.88795999996,1829149.98864999996
-118.30891,34.018331,EXPO,806,0,7,0,,80127,Expo / Western Station,34.018331,-118.308910,Ex/Wstrn,6468056.28498999961,1829197.00737000001
-118.335078,34.022526,EXPO,806,0,8,0,,80128,Expo / Crenshaw Station,34.022526,-118.335078,Ex/Crnshw,6460131.59604999982,1830749.04591000010
-118.346095,34.023981,EXPO,806,0,9,0,,80129,Farmdale Station,34.023981,-118.346095,Farmdale,6456795.06955999974,1831289.85798999993
-118.355159,34.024803,EXPO,806,0,10,0,,80130,Expo / La Brea Station,34.024803,-118.355159,Ex/LBrea,6454049.61978999991,1831598.57889000000
-118.37212,34.026355,EXPO,806,0,11,0,,80131,La Cienega / Jefferson Station,34.026355,-118.372120,LCienega,6448912.36586000025,1832181.97152999998
-118.388986,34.027896,EXPO,806,0,12,0,,80132,Culver City Station,34.027896,-118.388986,CulvrCty,6443804.07505999971,1832762.11609999998
-118.189362,33.76874,Blue,801,0,20,0,South,80153,1st Street Station,33.768740,-118.189362,1st St,6504112.27770000044,1738275.23857000005
-118.189412,33.773598,Blue,801,0,19,0,South,80154,5th Street Station,33.773598,-118.189412,5th St,6504100.41232000012,1740043.22995000007
-118.376808,34.168504,Red,802,0,14,0,,80201,North Hollywood Station,34.168504,-118.376808,NoHo,6447685.80678999983,1883917.60792000010
-118.362699,34.140002,Red,802,0,13,0,,80202,Universal / Studio City Station,34.140002,-118.362699,Univ City,6451916.20002999995,1873529.57727000001
-118.338549,34.101547,Red,802,0,12,0,,80203,Hollywood / Highland Station,34.101547,-118.338549,HW/Highlnd,6459176.67702999990,1859509.67803999991
-118.32518,34.10163,Red,802,0,11,0,,80204,Hollywood / Vine Station,34.101630,-118.325180,HW/Vine,6463223.99921000004,1859526.52084999997
-118.308117,34.101737,Red,802,0,10,0,,80205,Hollywood / Western Station,34.101737,-118.308117,HW/Wstrn,6468389.63252000045,1859549.18748999992
-118.291756,34.097708,Red,802,0,9,0,,80206,Vermont / Sunset Station,34.097708,-118.291756,Sunset,6473338.36907999963,1858068.18540999992
-118.29173,34.08991,Red,802,0,8,0,,80207,Vermont / Santa Monica Station,34.089910,-118.291730,Ver/SaMo,6473338.00423000008,1855230.33528000000
-118.291686,34.076526,Red,802,0,7,0,,80208,Vermont / Beverly Station,34.076526,-118.291686,Beverly,6473337.19225000031,1850359.62523999996
-118.290082,34.062701,Red/Purple,802,805,6,6,,80209,Wilshire / Vermont Station,34.062701,-118.290082,Wil/Ver,6473808.40084000025,1845327.05759999994
-118.274879,34.056368,Red/Purple,802,805,5,5,,80210,Westlake / MacArthur Park Station,34.056368,-118.274879,Westlake,6478406.67834999971,1843009.42470000009
-118.258682,34.048634,Red/Purple,802,805,4,4,,80211,7th St / Metro Center Station - Metro Red & Purple Lines,34.048634,-118.258682,7MC,6483305.44445999991,1840181.85972999991
-118.251259,34.049316,Red/Purple,802,805,3,3,,80212,Pershing Square Station,34.049316,-118.251259,Persh Sq,6485554.67172999959,1840424.34826999996
-118.246057,34.0549,Red/Purple,802,805,2,2,,80213,Civic Center / Grand Park Station,34.054900,-118.246057,Civic Ctr,6487135.44567000028,1842452.57039000001
-118.234249,34.056197,Red/Purple,802,805,1,1,,80214,Union Station - Metro Red & Purple Lines,34.056197,-118.234249,UnionSta,6490713.20887999982,1842916.02729000011
-118.301458,34.061753,Purple,805,0,15,0,,80215,Wilshire / Normandie Station,34.061753,-118.301458,Wil/Norm,6470361.88286000025,1844992.20197999990
-118.308756,34.061689,Purple,805,0,16,0,,80216,Wilshire / Western Station,34.061689,-118.308756,Wil/Wstrn,6468151.41968000028,1844975.62066000002
-118.369196,33.89464,Green,803,0,14,0,,80301,Redondo Beach Station,33.894640,-118.369196,Rdndo Bch,6449622.28921999969,1784245.08964999998
-118.383113,33.905299,Green,803,0,13,0,,80302,Douglas Station,33.905299,-118.383113,Douglas,6445413.53364999965,1788139.92672000010
-118.386539,33.916063,Green,803,0,12,0,,80303,El Segundo Station,33.916063,-118.386539,El Sgndo,6444389.00535000023,1792061.14571999991
-118.387572,33.9232,Green,803,0,11,0,,80304,Mariposa Station,33.923200,-118.387572,Mariposa,6444085.60477000009,1794659.65011999989
-118.377134,33.929621,Green,803,0,10,0,,80305,Aviation / LAX Station,33.929621,-118.377134,Aviat/LAX,6447261.02316999994,1796984.33483999991
